phrase,total_shows,direction,service_type,country,source
мотивационное письмо,12912,Не определено,Документы,Не указана,wordstat
обучение в китае,11039,Не определено,Общее,Китай,wordstat
студенческая виза,8082,Не определено,Виза,Не указана,wordstat
учеба за границей,4027,Не определено,Общее,Не указана,wordstat
апостиль диплома,3676,Не определено,Документы,Не указана,wordstat
обучение за рубежом,3143,Не определено,Общее,Не указана,wordstat
обучение в германии,2536,Не определено,Общее,Германия,wordstat
обучение в италии,2339,Не определено,Общее,Италия,wordstat
нострификация диплома,1920,Не определено,Документы,Не указана,wordstat
подготовка к ielts,1712,Не определено,Документы,Не указана,wordstat
учеба в сша,1269,Не определено,Общее,США,wordstat
обучение в канаде,670,Не определено,Общее,Канада,wordstat
учеба в испании,605,Не определено,Общее,Испания,wordstat
виза для учебы,586,Не определено,Виза,Не указана,wordstat
магистратура за рубежом,569,Не определено,Поступление,Не указана,wordstat
учеба во франции,444,Не определено,Общее,Франция,wordstat
психология за рубежом,360,Гуманитарные и социальные науки,Общее,Не указана,wordstat
вуз в великобритании,288,Не определено,Поступление,Великобритания,wordstat
поступление в зарубежный вуз,286,Не определено,Поступление,Не указана,wordstat
перевод документов для вуза,176,Не определено,Документы,Не указана,wordstat
дизайн за рубежом,168,Искусство и дизайн,Общее,Не указана,wordstat
медицинский вуз за границей,98,Медицина и здравоохранение,Поступление,Не указана,wordstat
юриспруденция за рубежом,32,Право,Общее,Не указана,wordstat
лингвистика за рубежом,23,Языки и лингвистика,Общее,Не указана,wordstat
mba за рубежом,17,Бизнес и менеджмент,Общее,Не указана,wordstat
педагогика за границей,11,Образование / педагогика,Общее,Не указана,wordstat
учеба it за границей,4,STEM,Общее,Не указана,wordstat
